Feature,Importance
relative_to_lowest_quartile,0.2864792
price_competitiveness_ratio,0.20700996
feature_to_price_ratio,0.15558374
tech_value_proposition,0.1513613
value_adjusted_price,0.0837214
actual_price,0.033416968
manufacturing_cost,0.024518436
brand_avg_price,0.016399005
customer_attraction_score,0.0094607305
category_median_price,0.0053413496
market_penetration_potential,0.004687861
discount_percentage,0.0036514252
price_to_brand_avg_ratio,0.0033860083
price_elasticity,0.003202018
sustainable_price,0.0020064057
ideal_customer_attraction_price,0.0019612957
is_mid_segment,0.0019546226
brand_strength,0.0014714729
rating,0.0010828769
rating_count,0.0007284907
brand_power_price_ratio,0.0006871234
premium_index,0.00059846917
price_to_category_median_ratio,0.00050148624
value_score,0.00043012368
brand_product_count,0.00021091184
estimated_units_sold,4.2868418e-05
elasticity_adjusted_value,3.60257e-05
demand_indicator,3.3498607e-05
rating_x_count,3.274066e-05
profit_margin_ratio,2.192308e-06
is_budget_segment,0.0
is_premium_segment,0.0
competitor_undercut_potential,0.0
seasonal_relevance,0.0
feature_count,0.0
category_price_index,0.0
technology_level,0.0
new_seller_competitive_price,0.0
complexity_score,0.0
price_to_cost_ratio,0.0
quality_tier,0.0
is_new_release,0.0
